Invoice ID,Branch,City,Customer type,Gender,Product line,Quantity,Sales,Date,Time,Payment,gross income,Rating
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,6,485.037,2/27/2019,17:55,Cash,23.097,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,4,198.996,1/23/2019,10:25,Cash,9.476,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,10,471.03,1/26/2019,19:54,Ewallet,22.43,8.2
873-51-0671,A,Yangon,Member,Female,Sports and travel,7,161.553,01-10-19,16:42,Ewallet,7.693,5.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,9,608.202,03-12-19,12:09,Credit card,28.962,8.6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,1,94.2375,02-06-19,20:05,Credit card,4.4875,6.6
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,1,102.018,03-08-19,20:38,Ewallet,4.858,7.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,10,922.635,3/29/2019,10:25,Ewallet,43.935,5.1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,6,78.435,02-09-19,13:11,Cash,3.735,4.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,3,166.1625,3/23/2019,10:16,Ewallet,7.9125,9.3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,6,521.01,03-05-19,18:14,Cash,24.81,7.4
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,1,51.1455,3/26/2019,19:20,Cash,2.4355,4.1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,9,742.2975,03-01-19,13:22,Cash,35.3475,7.2
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,9,218.0115,02-01-19,11:27,Cash,10.3815,4.9
212-62-1842,A,Yangon,Normal,Male,Food and beverages,6,367.038,3/28/2019,16:44,Cash,17.478,9.9
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,7,223.0725,3/19/2019,18:19,Cash,10.6225,8
704-48-3927,A,Yangon,Member,Male,Electronic accessories,10,931.035,01-12-19,14:50,Ewallet,44.335,7.3
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,6,172.494,01-05-19,20:54,Credit card,8.214,7.9
630-74-5166,A,Yangon,Normal,Male,Sports and travel,6,391.419,3/22/2019,20:19,Cash,18.639,7.4
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,9,321.111,3/24/2019,10:43,Cash,15.291,4.2
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,10,860.685,03-03-19,14:30,Cash,40.985,9.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel,2,34.629,02-05-19,11:32,Ewallet,1.649,4.6
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,3,309.3615,02-05-19,10:41,Credit card,14.7315,7.8
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,7,535.374,2/15/2019,12:44,Cash,25.494,8.4
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,9,548.7615,1/19/2019,20:07,Ewallet,26.1315,4.3
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,9,763.4655,02-01-19,20:31,Credit card,36.3555,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,3,85.113,03-02-19,13:01,Credit card,4.053,7.1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,5,115.185,03-05-19,12:29,Ewallet,5.485,5.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,1,53.928,1/16/2019,15:26,Ewallet,2.568,5.2
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10,115.08,02-02-19,20:48,Ewallet,5.48,6
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,2,112.224,1/20/2019,20:38,Ewallet,5.344,4.1
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,8,836.304,2/14/2019,17:03,Credit card,39.824,5.2
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,7,419.832,01-12-19,12:02,Credit card,19.992,6.5
219-22-9386,B,Mandalay,Member,Male,Sports and travel,9,944.622,03-09-19,17:26,Credit card,44.982,4.2
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,8,536.844,3/13/2019,19:52,Credit card,25.564,4.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,8,474.348,03-09-19,14:57,Ewallet,22.588,7.3
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,7,688.6215,03-10-19,18:44,Credit card,32.7915,4.5
870-54-3162,A,Yangon,Normal,Female,Sports and travel,5,169.3125,1/27/2019,13:26,Cash,8.0625,9
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,9,299.8485,01-08-19,16:17,Credit card,14.2785,5.9
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,8,575.736,01-08-19,15:57,Ewallet,27.416,8.5
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,9,853.146,02-08-19,11:15,Ewallet,40.626,7.2
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,7,291.207,1/25/2019,13:18,Cash,13.867,7.5
802-70-5316,A,Yangon,Member,Female,Sports and travel,6,580.419,03-06-19,20:34,Cash,27.639,8.3
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,4,146.328,02-10-19,18:36,Cash,6.968,7.4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,6,550.935,2/17/2019,14:40,Credit card,26.235,8.8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,6,512.19,03-08-19,16:43,Ewallet,24.39,5.3
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,3,284.193,2/18/2019,19:39,Cash,13.533,6.2
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,5,138.1275,1/18/2019,20:59,Credit card,6.5775,8.8
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,6,216.846,2/18/2019,15:39,Cash,10.326,9.8
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,10,545.055,2/16/2019,12:21,Cash,25.955,8.2
575-30-8091,A,Yangon,Normal,Male,Sports and travel,8,609,3/16/2019,19:25,Ewallet,29,9.2
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,10,942.9,1/23/2019,13:00,Credit card,44.9,5.4
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,10,950.25,1/25/2019,13:48,Cash,45.25,8.1
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,10,720.3,02-05-19,19:57,Cash,34.3,9.1
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,1,31.9305,2/22/2019,10:36,Credit card,1.5205,8.4
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,6,491.085,1/21/2019,16:37,Ewallet,23.385,8
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,6,291.438,03-08-19,17:11,Credit card,13.878,9.5
685-64-1609,A,Yangon,Member,Female,Fashion accessories,10,316.47,02-10-19,12:28,Ewallet,15.07,9.2
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,4,277.788,3/19/2019,12:46,Credit card,13.228,5.6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,8,603.624,03-06-19,15:07,Credit card,28.744,6.2
238-49-0436,A,Yangon,Normal,Male,Health and beauty,8,272.664,3/27/2019,13:48,Credit card,12.984,4.9
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,4,384.468,3/23/2019,19:20,Credit card,18.308,4.8
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,7,254.016,03-11-19,16:07,Credit card,12.096,7.3
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,9,786.618,1/29/2019,11:56,Credit card,37.458,7.4
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,6,103.824,02-07-19,18:23,Ewallet,4.944,9.9
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,8,680.148,1/28/2019,13:05,Cash,32.388,9.3
782-95-9291,A,Yangon,Member,Male,Food and beverages,5,484.5225,2/20/2019,15:55,Credit card,23.0725,9
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,1,75.7785,01-04-19,19:40,Cash,3.6085,6.1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,5,263.97,03-07-19,13:58,Ewallet,12.57,9.7
743-04-1105,B,Mandalay,Member,Male,Health and beauty,9,918.729,3/30/2019,14:43,Ewallet,43.749,6
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,6,588.357,3/27/2019,19:18,Ewallet,28.017,10
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,8,362.712,1/19/2019,19:39,Credit card,17.272,8.3
275-28-0149,A,Yangon,Normal,Male,Sports and travel,1,66.8745,2/25/2019,16:21,Cash,3.1845,6
101-17-6199,A,Yangon,Normal,Male,Food and beverages,7,336.5565,3/13/2019,19:44,Credit card,16.0265,7
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,2,160.44,1/30/2019,19:42,Ewallet,7.64,6.5
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,10,418.95,2/20/2019,15:24,Credit card,19.95,5.9
505-02-0892,B,Mandalay,Member,Male,Health and beauty,8,357.588,2/25/2019,14:12,Ewallet,17.028,5.6
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,10,1003.59,1/16/2019,13:32,Cash,47.79,4.8
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,10,1039.29,02-08-19,16:20,Credit card,49.49,8.7
796-32-9050,A,Yangon,Normal,Male,Food and beverages,6,323.064,1/19/2019,16:31,Cash,15.384,6.5
105-31-1824,A,Yangon,Member,Male,Sports and travel,7,510.972,02-01-19,15:10,Credit card,24.332,8.5
249-42-3782,A,Yangon,Normal,Male,Health and beauty,5,367.5525,01-03-19,11:36,Ewallet,17.5025,5.5
316-55-4634,B,Mandalay,Member,Male,Food and beverages,5,420.2625,1/26/2019,12:45,Credit card,20.0125,9.4
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,8,175.14,03-03-19,19:17,Cash,8.34,6.3
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,6,333.207,1/19/2019,17:34,Credit card,15.867,9.8
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,8,166.236,1/18/2019,12:04,Ewallet,7.916,8.7
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,9,319.788,3/21/2019,16:21,Ewallet,15.228,8.8
175-54-2529,A,Yangon,Member,Male,Food and beverages,8,186.228,03-03-19,17:01,Credit card,8.868,9.6
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,7,165.4485,2/13/2019,10:50,Credit card,7.8785,4.8
407-63-8975,A,Yangon,Normal,Male,Food and beverages,6,465.444,3/23/2019,19:16,Ewallet,22.164,4.4
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,3,273.42,1/28/2019,16:47,Ewallet,13.02,9.9
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,7,472.311,02-09-19,10:00,Cash,22.491,5.7
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,8,323.148,1/23/2019,11:51,Cash,15.388,7.7
851-28-6367,A,Yangon,Member,Male,Sports and travel,10,162.75,3/23/2019,10:55,Ewallet,7.75,8
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,8,288.204,1/25/2019,15:00,Ewallet,13.724,5.7
586-25-0848,A,Yangon,Normal,Female,Sports and travel,7,90.699,03-04-19,11:19,Credit card,4.319,6.7
895-66-0685,B,Mandalay,Member,Male,Food and beverages,3,56.952,03-05-19,19:46,Ewallet,2.712,8
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,8,793.716,03-03-19,19:00,Ewallet,37.796,7.5
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,4,195.174,02-08-19,10:53,Cash,9.294,7
400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,1,77.7735,02-10-19,12:50,Ewallet,3.7035,9.9
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,4,293.202,1/28/2019,20:50,Credit card,13.962,5.9
284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,3,242.676,02-11-19,10:39,Credit card,11.556,7.2
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,2,154.392,1/15/2019,13:41,Ewallet,7.352,4.6
286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,9,829.71,3/16/2019,19:08,Cash,39.51,9.2
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,4,107.31,1/26/2019,20:23,Ewallet,5.11,5.7
831-07-6050,A,Yangon,Normal,Male,Electronic accessories,5,171.7275,3/19/2019,11:30,Credit card,8.1775,9.9
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,1,78.0045,1/13/2019,19:30,Cash,3.7145,5
848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,2,91.77,3/26/2019,18:03,Cash,4.37,4.9
856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,1,26.5545,3/23/2019,10:13,Ewallet,1.2645,6.1
699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty,4,174.3,03-12-19,19:58,Credit card,8.3,8.2
420-11-4919,C,Naypyitaw,Member,Female,Food and beverages,5,374.7975,2/17/2019,19:57,Credit card,17.8475,5.5
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,6,120.645,1/29/2019,10:01,Credit card,5.745,6.8
542-41-0513,B,Mandalay,Member,Female,Electronic accessories,4,241.458,3/15/2019,11:57,Cash,11.498,6.6
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,7,451.3635,1/14/2019,10:02,Cash,21.4935,9.8
875-46-5808,B,Mandalay,Member,Male,Health and beauty,10,271.95,02-06-19,14:51,Ewallet,12.95,8.7
394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,5,93.2925,2/15/2019,12:42,Credit card,4.4425,5.4
749-24-1565,A,Yangon,Normal,Female,Health and beauty,9,217.6335,01-03-19,12:02,Ewallet,10.3635,7.9
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,9,629.8425,01-04-19,18:19,Credit card,29.9925,9.7
263-87-5680,C,Naypyitaw,Member,Female,Home and lifestyle,10,299.565,3/18/2019,17:38,Ewallet,14.265,7.8
573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,3,95.6655,3/28/2019,13:41,Ewallet,4.5555,5.1
817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,9,942.4485,03-02-19,19:42,Credit card,44.8785,6.5
888-02-0338,A,Yangon,Normal,Male,Electronic accessories,9,247.8735,1/25/2019,20:24,Ewallet,11.8035,5.9
677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,9,881.307,1/16/2019,18:08,Cash,41.967,8.8
142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle,5,484.89,3/20/2019,19:17,Ewallet,23.09,4.9
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,3,146.223,01-04-19,13:24,Credit card,6.963,4.4
891-58-8335,B,Mandalay,Member,Female,Sports and travel,7,217.6335,03-11-19,15:53,Cash,10.3635,6.5
802-43-8934,A,Yangon,Normal,Male,Home and lifestyle,1,19.194,3/22/2019,15:05,Credit card,0.914,8.3
560-30-5617,B,Mandalay,Normal,Female,Sports and travel,5,130.0425,3/24/2019,18:27,Cash,6.1925,8.5
319-74-2561,A,Yangon,Member,Female,Electronic accessories,3,298.116,2/21/2019,16:55,Cash,14.196,5.5
549-03-9315,B,Mandalay,Normal,Male,Fashion accessories,8,796.908,02-12-19,12:58,Ewallet,37.948,8.7
790-29-1172,B,Mandalay,Normal,Female,Food and beverages,3,180.621,03-10-19,18:59,Credit card,8.601,7.9
239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,6,285.705,1/31/2019,13:44,Ewallet,13.605,6.1
468-01-2051,B,Mandalay,Normal,Male,Food and beverages,7,456.288,03-06-19,13:46,Ewallet,21.728,5.4
389-25-3394,C,Naypyitaw,Normal,Male,Electronic accessories,5,62.0025,2/17/2019,18:06,Cash,2.9525,9.4
279-62-1445,C,Naypyitaw,Member,Female,Fashion accessories,1,13.167,2/21/2019,12:38,Cash,0.627,8.2
213-72-6612,A,Yangon,Normal,Male,Food and beverages,2,90.825,3/20/2019,15:56,Cash,4.325,6.2
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,2,183.036,01-11-19,14:29,Credit card,8.716,9.7
836-82-5858,B,Mandalay,Member,Male,Health and beauty,9,655.5465,1/26/2019,19:14,Ewallet,31.2165,4
583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,4,155.652,1/31/2019,16:24,Ewallet,7.412,9.7
466-61-5506,B,Mandalay,Member,Female,Electronic accessories,6,571.41,2/26/2019,10:52,Cash,27.21,5.3
721-86-6247,A,Yangon,Normal,Female,Home and lifestyle,8,532.728,03-11-19,12:55,Ewallet,25.368,7.4
289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,2,170.877,1/26/2019,19:28,Cash,8.137,6.5
545-46-3100,B,Mandalay,Member,Female,Electronic accessories,3,33.3585,03-12-19,13:52,Credit card,1.5885,8.7
418-02-5978,B,Mandalay,Normal,Female,Health and beauty,9,794.6505,02-11-19,10:54,Cash,37.8405,8
